amfi_code	date	nav
119551	03-01-2022	54.3856
119551	04-01-2022	54.3474
119551	05-01-2022	54.6869
119551	06-01-2022	55.455
119551	07-01-2022	55.3692
119551	10-01-2022	55.2835
119551	11-01-2022	56.0878
119551	12-01-2022	56.4978
119551	13-01-2022	56.2934
119551	14-01-2022	56.5926
119551	17-01-2022	56.3908
119551	18-01-2022	56.1887
119551	19-01-2022	56.3378
119551	20-01-2022	55.4237
119551	21-01-2022	54.6151
119551	24-01-2022	54.373
119551	25-01-2022	53.9173
119551	26-01-2022	54.0948
119551	27-01-2022	53.6911
119551	28-01-2022	53.0538
119551	31-01-2022	53.7718
119551	01-02-2022	53.6925
119551	02-02-2022	53.7522
119551	03-02-2022	53.1084
119551	04-02-2022	52.8813
119551	07-02-2022	52.9604
119551	08-02-2022	52.4526
119551	09-02-2022	52.6538
119551	10-02-2022	52.4027
119551	11-02-2022	52.295
119551	14-02-2022	52.0451
119551	15-02-2022	52.9295
119551	16-02-2022	52.9506
119551	17-02-2022	52.486
119551	18-02-2022	52.8954
119551	21-02-2022	52.3559
119551	22-02-2022	52.4795
119551	23-02-2022	51.607
119551	24-02-2022	51.0323
119551	25-02-2022	51.1474
119551	28-02-2022	51.5081
119551	01-03-2022	51.6126
119551	02-03-2022	51.5866
119551	03-03-2022	51.4764
119551	04-03-2022	50.8357
119551	07-03-2022	50.5401
119551	08-03-2022	50.3612
119551	09-03-2022	50.8591
119551	10-03-2022	51.0398
119551	11-03-2022	50.2783
119551	14-03-2022	50.4482
119551	15-03-2022	50.3031
119551	16-03-2022	50.0295
119551	17-03-2022	50.3261
119551	18-03-2022	50.8119
119551	21-03-2022	51.2574
119551	22-03-2022	50.9057
119551	23-03-2022	50.7933
119551	24-03-2022	50.9682
119551	25-03-2022	51.4351
119551	28-03-2022	51.2446
119551	29-03-2022	51.1872
119551	30-03-2022	50.7163
119551	31-03-2022	50.21
119551	01-04-2022	50.5972
119551	04-04-2022	51.2324
119551	05-04-2022	51.2263
119551	06-04-2022	51.7084
119551	07-04-2022	51.9003
119551	08-04-2022	51.6325
119551	11-04-2022	51.8241
119551	12-04-2022	52.5589
119551	13-04-2022	52.5694
119551	14-04-2022	53.3273
119551	15-04-2022	52.1363
119551	18-04-2022	52.5427
119551	19-04-2022	52.6102
119551	20-04-2022	52.4987
119551	21-04-2022	52.5683
119551	22-04-2022	51.6815
119551	25-04-2022	51.6081
119551	26-04-2022	51.7976
119551	27-04-2022	52.5042
119551	28-04-2022	52.2918
119551	29-04-2022	51.947
119551	02-05-2022	51.7444
119551	03-05-2022	52.1907
119551	04-05-2022	52.3692
119551	05-05-2022	52.152
119551	06-05-2022	52.4157
119551	09-05-2022	52.4876
119551	10-05-2022	52.9653
119551	11-05-2022	52.6655
119551	12-05-2022	52.5406
119551	13-05-2022	52.3863
119551	16-05-2022	51.7412
119551	17-05-2022	51.9032
