amfi_code,worst_drawdown_date,nav_at_worst,peak_nav,max_drawdown
119599,2025-10-28,78.6152,165.7647,-0.5257422117012851
119095,2026-05-11,51.6185,106.8214,-0.5167775370852656
101207,2026-05-11,51.8695,80.3517,-0.3544691649336603
149324,2025-01-03,120.0806,174.4645,-0.31171900300634214
119598,2025-05-14,160.5863,225.2452,-0.2870600572176455
102886,2026-04-27,122.2659,169.8164,-0.2800112356639287
100016,2022-09-15,411.1759,546.3002,-0.24734440880673303
120842,2024-10-17,60.8608,80.0837,-0.24003511326274884
118634,2026-02-20,97.1392,126.7224,-0.2334488614483311
119093,2023-05-22,33.0339,42.2166,-0.21751396370148224
102887,2022-07-04,149.9155,191.0721,-0.21539827112383225
125498,2025-09-12,133.3088,168.9962,-0.21117279560132118
119094,2022-08-11,61.5099,77.8221,-0.20960883862039192
120506,2023-08-14,222.7329,277.8107,-0.1982565826298267
118633,2024-02-29,51.0565,62.7459,-0.18629743138595511
120505,2025-01-23,280.1501,342.4337,-0.18188513572116294
120841,2025-02-14,359.1996,435.7823,-0.1757361416468729
118632,2024-07-19,67.6643,81.932,-0.17414075086657232
149323,2022-10-24,72.9664,88.1749,-0.17248105753451382
148569,2023-10-20,45.5973,54.5401,-0.1639674294693263
100033,2022-05-12,93.5553,111.6641,-0.16217208574644848
148568,2024-01-24,131.5354,155.2454,-0.1527259422823477
125497,2025-01-01,727.4728,857.869,-0.15200013055606398
119551,2024-02-05,65.8739,77.51,-0.1501238549864533
149322,2022-02-04,296.9505,348.7159,-0.14844576917771746
119092,2025-02-07,46.9389,54.8362,-0.1440161790933726
120503,2023-11-09,72.0668,83.6992,-0.13897862823061635
120843,2022-04-13,44.8104,51.4908,-0.1297396816518679
120504,2023-05-30,64.0297,73.2507,-0.12588275606922517
119552,2024-09-02,109.0369,123.6295,-0.11803493502764295
118635,2022-06-09,150.4968,170.3428,-0.1165062450540909
101206,2023-07-05,328.2234,370.0026,-0.11291596329323073
148567,2023-10-20,90.3755,101.8496,-0.11265729075028275
102885,2022-03-29,83.5999,93.7848,-0.1085986215250232
118636,2024-02-09,31.3327,34.1748,-0.08316361763638702
119120,2025-04-01,50.2278,52.5004,-0.04328728923970093
100025,2023-07-28,27.5108,28.7494,-0.04308263824636349
101208,2023-09-12,346.4328,346.9958,-0.0016224980244717857
120844,2024-04-30,3734.4751,3738.8231,-0.0011629327956168556
120507,2025-10-20,371.6765,372.0401,-0.0009773140045925555
