amfi_code,daily_mean,daily_std,annualised_return,annualised_volatility,sharpe_ratio
100016,0.00014159930699210875,0.009164463506291012,0.036324687080969253,0.14548134802183824,-0.1971064559748669
100025,0.00017005379350089821,0.0024600734466666578,0.043781224757101,0.03905245528100098,-0.5433403633707491
100033,0.0010798038431409655,0.01192900655226637,0.31253943549713137,0.18936710835214104,1.3071934067705935
101206,0.0008517723174694528,0.00917711148595717,0.23931060444318453,0.1456821284745426,1.1965133010370907
101207,0.00042445286814923557,0.016250785494711647,0.11286684498581656,0.2579732221707766,0.18554966512814658
101208,0.0002415462856590344,0.0003190254082164958,0.06275257769506415,0.00506437135231026,-0.44377123014698094
102885,0.0006741587522893952,0.008086315812687707,0.18510427388856976,0.128366283978605,0.9356372262718746
102886,0.00010981472233970663,0.011423709289098107,0.028058210749381862,0.18134576297311236,-0.20370913907757193
102887,0.0006453406943106673,0.00992683807935834,0.17653467644260967,0.1575836691791294,0.7077806794549589
118632,0.0008652259973214254,0.008912624198545466,0.24351578734954238,0.14148352294996597,1.2617425946671716
118633,0.0006163137445172879,0.008817415800853637,0.16796535611096863,0.13997213649186088,0.7356132348308899
118634,0.0007071093821003038,0.015900663604058195,0.1949789778947717,0.25241520946340396,0.5149411486379409
118635,0.0006004739698755357,0.008178621336543351,0.16331539411396712,0.12983158874316245,0.7572532622123125
118636,0.00020153331311365303,0.0025106530475991137,0.05209275230246191,0.03985538155388199,-0.3238520670060152
119092,0.0002749789297660465,0.00878809060321341,0.07174178856308622,0.13950661341123774,0.048325942392514136
119093,0.00032985864437101074,0.008808648249969894,0.08666206468402038,0.13983295593638798,0.1549138723340352
119094,0.001026697856256901,0.012225334849231464,0.29510935156102813,0.19407117423334666,1.1856956730954284
119095,0.00018236517391230028,0.015790461312930517,0.04702397872905184,0.25066580232600366,-0.07171309809372971
119120,0.00022226830595075363,0.002499014396177669,0.057603383377117234,0.03967062369033813,-0.18645072688091444
119551,0.0009167982325947245,0.008656289856377529,0.2597676685285746,0.1374143414187958,1.417375119056779
119552,0.0007852425930349851,0.008780976223037723,0.21872286899571125,0.13939367612717432,1.1027965777691653
119598,0.0012010157369980632,0.015837075918187626,0.35320298502744674,0.2514057862438462,1.1463657592507033
119599,0.00020131692580289384,0.015717101489290775,0.05203539522009115,0.2495012512285578,-0.051962083220306224
120503,0.0006975954084313716,0.00874637351279307,0.1921194279616114,0.13884437513119724,0.9155533152963046
120504,0.0008430464116382278,0.009048331253877964,0.23659074563644888,0.143637805667366,1.1946071219844157
120505,0.0011613203372383724,0.012152155877011158,0.33974985967411375,0.19290949406318125,1.4242422904500922
120506,0.0006501094769466257,0.009594323495169197,0.17794849083354647,0.15230516379673026,0.7415933118609817
120507,0.00026765254137929735,0.0003111357089670545,0.069765446606042,0.004939126259511572,0.964835955927406
120841,0.0005220152587214231,0.0084813941409122,0.14055333035228657,0.13463795800784395,0.5611592114898598
120842,0.0003119045881482693,0.01127261087851537,0.0817582221915567,0.17894715006571804,0.09364900299000166
120843,0.001081754914045028,0.010007860815167741,0.3131842332046193,0.15886986523609198,1.5621857098940681
120844,0.00025612874999295657,0.000323359346354264,0.0666641700592201,0.005133170487370699,0.3241992572260173
125497,0.0007095223731125665,0.009240517486188725,0.19570531955818304,0.14668866752399456,0.8910389722969086
125498,0.00047686346287115054,0.01156094427733088,0.12765578290291413,0.18352430087335714,0.34140319622386356
148567,0.0010736754034490737,0.008941194822595944,0.3105161344956593,0.1419370675462029,1.7297534656740718
148568,0.0008250722735460003,0.009719447430866618,0.231006941758386,0.15429144469823233,1.075930957047341
148569,0.0011240540293206507,0.011133577708427314,0.3272412420725268,0.17674006691346641,1.483767923438224
149322,0.0005222511308194386,0.009042081769919373,0.14062109121201694,0.1435385981851045,0.526834539058947
149323,0.0010551910655343993,0.011179029641055034,0.30443233679271087,0.17746159397550765,1.349206503947869
149324,0.0011941715475284561,0.015647858323745774,0.350873865939471,0.2484020500524201,1.1508514759807467
